source,target,weight,start,end
E024,E078,1,1886-10-02T00:00:00,1886-10-02T00:00:00
E024,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E024,E086,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E024,E087,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E025,E026,2,1886-09-23T00:00:00,1886-09-24T00:00:00
E025,E027,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E028,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E029,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E030,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E031,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E032,2,1886-09-23T00:00:00,1886-09-24T00:00:00
E025,E036,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E039,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E043,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E045,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E025,E060,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E061,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E025,E072,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E025,E078,1,1886-10-01T00:00:00,1886-10-01T00:00:00
E026,E027,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E028,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E029,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E030,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E031,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E032,3,1886-09-14T00:00:00,1886-09-24T00:00:00
E026,E036,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E039,3,1886-09-14T00:00:00,1886-09-24T00:00:00
E026,E043,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E026,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E026,E060,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E061,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E026,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E026,E080,1,1886-09-19T00:00:00,1886-09-19T00:00:00
E027,E028,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E029,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E030,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E031,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E032,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E036,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E039,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E043,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E060,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E027,E061,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E029,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E030,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E031,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E032,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E036,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E039,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E043,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E060,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E028,E061,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E029,E030,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E029,E031,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E029,E032,1,1886-09-24T00:00:00,1886-09-24T00:00:00
E029,E036,1,1886-09-24T00:00:00,1886-09-24T00:00:00
